LATE-FALL_SPAWN_PERIOD,LATE-FALL_Hatcheries,LATE-FALL_In-River,LATE-FALL_TOTAL,WINTER_SPAWN_PERIOD,WINTER_TOTAL,WINTER_RBDD,SPRING_Hatcheries,SPRING_In-River,SPRING_TOTAL,FALL_Hatcheries,FALL_In-River,FALL_TOTAL
Nov 1951 - Apr 1952,,,,Dec 1951 - Aug 1952,,,,,,11000,349000,360000
Nov 1952 - Apr 1953,,,,Dec 1952 - Aug 1953,,,,,,12000,585000,597000
Nov 1953 - Apr 1954,,,,Dec 1953 - Aug 1954,,,,,,8000,479000,487000
Nov 1954 - Apr 1955,,,,Dec 1954 - Aug 1955,,,,,,18000,382300,400300
Nov 1955 - Apr 1956,,,,Dec 1955 - Aug 1956,,,,,,8995,157779,166774
Nov 1956 - Apr 1957,,,,Dec 1956 - Aug 1957,,,,,,3920,114260,118180
Nov 1957 - Apr 1958,,,,Dec 1957 - Aug 1958,,,,,,24214,263252,287466
Nov 1958 - Apr 1959,,,,Dec 1958 - Aug 1959,,,,,,24076,454823,478899
Nov 1959 - Apr 1960,,,,Dec 1959 - Aug 1960,,,,11068,11068,38771,437245,476016
Nov 1960 - Apr 1961,,,,Dec 1960 - Aug 1961,,,,4327,4327,22465,231157,253622
Nov 1961 - Apr 1962,,,,Dec 1961 - Aug 1962,,,,3642,3642,17510,234126,251636
Nov 1962 - Apr 1963,,,,Dec 1962 - Aug 1963,,,,10817,10817,8325,285887,294212
Nov 1963 - Apr 1964,,,,Dec 1963 - Aug 1964,,,,8021,8021,30860,284367,315227
Nov 1964 - Apr 1965,,,,Dec 1964 - Aug 1965,,,,1788,1788,20571,177019,197590
Nov 1965 - Apr 1966,,,,Dec 1965 - Aug 1966,,,,427,427,11326,184507,195833
Nov 1966 - Apr 1967,,,,Dec 1966 - Aug 1967,,,146,330,476,10303,170125,180428
Nov 1967 - Apr 1968,,,,Dec 1967 - Aug 1968,,,208,455,663,15657,194657,210314
Nov 1968 - Apr 1969,,,,Dec 1968 - Aug 1969,,,348,21030,21378,10684,309706,320390
Nov 1969 - Apr 1970,,,,Dec 1969 - Aug 1970,40409,40409,235,7437,7672,16144,219349,235493
Nov 1970 - Apr 1971,,16741,16741,Dec 1970 - Aug 1971,53089,53089,481,8800,9281,17075,221544,238619
Nov 1971 - Apr 1972,,31559,31559,Dec 1971 - Aug 1972,37133,37133,256,8588,8844,14081,138982,153063
Nov 1972 - Apr 1973,,21781,21781,Dec 1972 - Aug 1973,24079,24079,205,11225,11430,26515,244805,271320
Nov 1973 - Apr 1974,,6083,6083,Dec 1973 - Aug 1974,21897,21897,198,9053,9251,17120,217506,234626
Nov 1974 - Apr 1975,,19261,19261,Dec 1974 - Aug 1975,23930,23430,691,22887,23578,18201,177188,195389
Nov 1975 - Apr 1976,,15908,15908,Dec 1975 - Aug 1976,35596,35096,699,25141,25840,14858,180350,195208
Nov 1976 - Apr 1977,914,9455,10369,Dec 1976 - Aug 1977,17214,17214,185,12545,12730,23226,162437,185663
Nov 1977 - Apr 1978,,12479,12479,Dec 1977 - Aug 1978,25012,24862,202,7924,8126,17441,139521,156962
Nov 1978 - Apr 1979,,10284,10284,Dec 1978 - Aug 1979,2364,2364,250,2866,3116,26360,201286,227646
Nov 1979 - Apr 1980,,9093,9093,Dec 1979 - Aug 1980,1156,1156,269,12195,12464,31397,140740,172137
Nov 1980 - Apr 1981,147,6571,6718,Dec 1980 - Aug 1981,22797,20041,469,21636,22105,42455,217804,260259
Nov 1981 - Apr 1982,445,6454,6899,Dec 1981 - Aug 1982,1281,1242,1910,25980,27890,42077,188629,230706
Nov 1982 - Apr 1983,105,14984,15089,Dec 1982 - Aug 1983,1831,1831,1702,6256,7958,32985,172305,205290
Nov 1983 - Apr 1984,,10388,10388,Dec 1983 - Aug 1984,2763,2663,1562,8037,9599,46433,216474,262907
Nov 1984 - Apr 1985,181,9999,10180,Dec 1984 - Aug 1985,5407,3962,1632,13589,15221,37410,318894,356304
Nov 1985 - Apr 1986,197,8104,8301,Dec 1985 - Aug 1986,2596,2596,1433,24263,25696,29367,268453,297820
Nov 1986 - Apr 1987,349,16222,16571,Dec 1986 - Aug 1987,2185,2088,1213,12675,13888,34210,267373,301583
Nov 1987 - Apr 1988,53,13165,13218,Dec 1987 - Aug 1988,2878,2150,6833,12100,18933,29305,239131,268436
Nov 1988 - Apr 1989,65,12807,12872,Dec 1988 - Aug 1989,696,682,5078,7085,12163,29468,152882,182350
Nov 1989 - Apr 1990,92,7986,8078,Dec 1989 - Aug 1990,430,402,1893,5790,7683,25725,62128,87853
Nov 1990 - Apr 1991,161,8102,8263,Dec 1990 - Aug 1991,211,211,4303,1623,5926,28611,103844,132455
Nov 1991 - Apr 1992,344,9787,10131,Dec 1991 - Aug 1992,1240,1196,1497,1547,3044,31249,79164,110413
Nov 1992 - Apr 1993,528,739,1267,Dec 1992 - Aug 1993,387,378,4672,1404,6076,32807,132616,165423
Nov 1993 - Apr 1994,598,291,889,Dec 1993 - Aug 1994,186,186,3641,2546,6187,45622,175045,220667
Nov 1994 - Apr 1995,323,166,489,Dec 1994 - Aug 1995,1297,1290,5414,9824,15238,49249,280919,330168
Nov 1995 - Apr 1996,1337,48,1385,Dec 1995 - Aug 1996,1337,1337,6381,2702,9083,41960,309591,351551
Nov 1996 - Apr 1997,4578,,4578,Dec 1996 - Aug 1997,880,880,3653,1540,5193,78888,323909,402797
Nov 1997 - Apr 1998,3079,39340,42419,Dec 1997 - Aug 1998,2992,2930,6746,24903,31649,78918,167108,246026
Nov 1998 - Apr 1999,7075,8683,15758,Dec 1998 - Aug 1999,3288,3288,3731,6369,10100,54444,359815,414259
Nov 1999 - Apr 2000,4181,8702,12883,Dec 1999 - Aug 2000,1352,1352,3657,5587,9244,58361,427320,485681
Nov 2000 - Apr 2001,2439,19374,21813,Dec 2000 - Aug 2001,8224,5499,4135,22528,26663,68709,555922,624631
Nov 2001 - Apr 2002,4186,36220,40406,Dec 2001 - Aug 2002,7441,9157,4189,20854,25043,106001,766668,872669
Nov 2002 - Apr 2003,3183,5699,8882,Dec 2002 - Aug 2003,8218,9724,8662,22035,30697,126763,464229,590992
Nov 2003 - Apr 2004,5166,8984,14150,Dec 2003 - Aug 2004,7869,7192,4212,12938,17150,128275,258573,386848
Nov 2004 - Apr 2005,5562,10720,16282,Dec 2004 - Aug 2005,15839,5299,1774,21319,23093,193411,244282,437693
Nov 2005 - Apr 2006,4822,10267,15089,Dec 2005 - Aug 2006,17296,7415,2181,10725,12906,84883,208071,292954
Nov 2006 - Apr 2007,3361,15482,18843,Dec 2006 - Aug 2007,2541,6144,1916,9228,11144,23641,73527,97168
