YEAR,Cosumnes River,Mokelumne River Hatchery,Mokelumne River In-River,Mokelumne River TOTAL,Stanislaus River,Tuolumne River,Merced River Hatchery 1/,Merced River In-River,Merced River TOTAL
1952,,,2000,2000,10000,10000,,,
1953,2000,,2000,2000,35000,45000,,,
1954,5000,,4000,4000,22000,40000,,4000,4000
1955,2000,,2000,2000,7000,20000,,,
1956,1200,,474,474,5000,5500,,,
1957,142,,2400,2400,4090,8170,,380,380
1958,600,,7579,7579,5700,32500,,500,500
1959,,,2106,2106,4300,45900,,400,400
1960,1400,,2205,2205,8300,45000,,350,350
1961,,,137,137,1900,500,,50,50
1962,900,,230,230,315,250,,60,60
1963,1500,,481,481,200,100,,20,20
1964,2200,362,1848,2210,3700,2100,,35,35
1965,800,173,1127,1300,2231,3200,,90,90
1966,600,480,209,689,2872,5100,,45,45
1967,500,250,2750,3000,11885,6800,,600,600
1968,1500,954,753,1707,6385,8600,,550,550
1969,4400,615,2070,2685,12327,32200,,600,600
1970,600,548,4452,5000,9297,18400,100,4700,4800
1971,500,925,4275,5200,13621,21885,200,3451,3651
1972,1600,352,750,1102,4298,5100,120,2528,2648
1973,900,407,2193,2600,1234,1989,375,797,1172
1974,285,222,1200,1422,750,1150,1000,1000,2000
1975,725,399,1501,1900,1200,1600,700,1700,2400
1976,,18,455,473,600,1700,700,1200,1900
1977,,0,250,250,0,450,661,350,1011
1978,100,486,600,1086,50,1300,100,525,625
1979,150,507,1000,1507,110,1183,227,1920,2147
1980,200,639,2592,3231,100,559,157,2849,3006
1981,,,4954,4954,1000,14253,924,9491,10415
1982,,2677,6695,9372,,7126,189,3074,3263
1983,200,4568,11293,15861,500,14836,1795,16453,18248
1984,1000,,8298,8298,11439,13689,2109,27640,29749
1985,220,223,7459,7682,13473,40322,1211,14841,16052
1986,,1913,5254,7167,6497,7404,650,6789,7439
1987,0,630,1000,1630,6292,14751,958,3168,4126
1988,100,128,400,528,10212,5779,457,4135,4592
1989,,81,199,280,1510,1275,82,345,427
1990,,68,429,497,480,96,46,36,82
1991,,42,368,410,394,77,41,78,119
1992,,710,935,1645,255,132,368,618,986
1993,,2164,993,3157,677,471,409,1269,1678
1994,,1919,1238,3157,1031,506,943,2646,3589
1995,,3323,2194,5517,619,827,602,2320,2922
1996,,3883,4038,7921,168,4362,1141,3291,4432
1997,,6494,3681,10175,5588,7146,946,2714,3660
1998,300,3091,4122,7213,3087,8910,799,3292,4091
1999,229,3150,2183,5333,4349,8232,1637,3129,4766
2000,460,5450,1973,7423,8498,17873,1946,11130,13076
2001,,5728,2307,8035,7033,8782,1663,9181,10844
2002,1350,7913,2840,10753,7787,7173,1840,8866,10706
2003,122,8117,2122,10239,5902,2163,549,2530,3079
2004,1208,10356,1588,11944,4015,1984,1050,3270,4320
2005,370,5563,10406,15969,1427,668,421,1942,2363
2006,530,4139,1732,5871,1923,562,150,1429,1579
2007,77,1051,470,1521,443,224,79,485,564
2008,15,239,173,412,865,388,76,389,465
[2009],0,1553,680,2233,595,124,246,358,604
[2010],740,5275,1920,7195,1086,540,146,651,797
[2011],53,15922,2674,18596,1309,893,371,1571,1942
[2012],1071,6620,5471,12091,4006,783,1000,2011,3011
[2013],0,5181,7071,12252,2845,1926,1098,2826,3924
[2014],373,8816,3297,12113,3060,438,811,922,1733
[2015],204,8298,4581,12879,6136,113,1206,1247,2453
[2016],1248,6887,1984,8871,9330,1347,2996,2541,5537
[2017],670,14319,5644,19963,5655,1096,1961,3191,5152
[2018],788,7181,10294,17475,2387,1084,975,875,1850
[2019],435,8509,4361,12870,1482,927,1014,2211,3225
[2020],0,3443,601,4044,558,271,185,426,611
[2021],833,4217,826,5043,4344,186,267,487,754
[2022],,5014,1921,6935,3639,466,67,75,142
[2023],987,9881,18817,28698,1617,1341,894,2371,3265
[2024],1325,11683,23767,35450,3035,2128,73,542,615
[2025],,,,,,,,,
