LATE-FALL_SPAWN_PERIOD,In-River 2/,Coleman NFH 3/,TOTAL...4,TCFF 4/,In-River...6,TOTAL...7,Battle Creek 5/ In-River Above CRR,Coleman Hatchery,TOTAL...10,Clear Ck,Cotton-wood Ck,Salt Ck,Craig Ck,In-River...15,Feather River Hatch-ery,TOTAL LATE-FALL RUN
Nov 1970 - Apr 1971,16741,,16741,,,,,,,,,,,,,16741
Nov 1971 - Apr 1972,31559,,31559,,,,,,,,,,,,,31559
Nov 1972 - Apr 1973,21781,,21781,,,,,,,,,,,,,21781
Nov 1973 - Apr 1974,5446,637,6083,,,,,,,,,,,,,6083
Nov 1974 - Apr 1975,18324,937,19261,,,,,,,,,,,,,19261
Nov 1975 - Apr 1976,15814,94,15908,,,,,,,,,,,,,15908
Nov 1976 - Apr 1977,8678,532,9210,,,,,914,914,,,245,,,,10369
Nov 1977 - Apr 1978,11767,712,12479,,,,,,,,,,,,,12479
Nov 1978 - Apr 1979,9572,712,10284,,,,,,,,,,,,,10284
Nov 1979 - Apr 1980,8347,746,9093,,,,,,,,,,,,,9093
Nov 1980 - Apr 1981,6423,148,6571,,,,,147,147,,,,,,,6718
Nov 1981 - Apr 1982,3734,247,3981,,,,,43,43,875,,,,1598,402,6899
Nov 1982 - Apr 1983,14437,547,14984,,,,,105,105,,,,,,,15089
Nov 1983 - Apr 1984,6205,335,6540,3098,,3098,,,,200,400,,150,,,10388
Nov 1984 - Apr 1985,7929,207,8136,,1863,1863,,181,181,,,,,,,10180
Nov 1985 - Apr 1986,7229,591,7820,,284,284,,197,197,,,,,,,8301
Nov 1986 - Apr 1987,15768,454,16222,,,,,349,349,,,,,,,16571
Nov 1987 - Apr 1988,12103,404,12507,,658,658,,53,53,,,,,,,13218
Nov 1988 - Apr 1989,11990,817,12807,,0,0,,65,65,,,,,,,12872
Nov 1989 - Apr 1990,6792,100,6892,,1094,1094,,92,92,,,,,,,8078
Nov 1990 - Apr 1991,6493,118,6611,,1491,1491,,161,161,,,,,,,8263
Nov 1991 - Apr 1992,8958,398,9356,,431,431,,344,344,,,,,,,10131
Nov 1992 - Apr 1993,339,400,739,,,,,528,528,,,,,,,1267
Nov 1993 - Apr 1994,137,154,291,,,,,598,598,,,,,,,889
Nov 1994 - Apr 1995,,166,166,,,,,323,323,,,,,,,489
Nov 1995 - Apr 1996,,48,48,,,,,1337,1337,,,,,,,1385
Nov 1996 - Apr 1997,,,,,,,,4578,4578,,,,,,,4578
Nov 1997 - Apr 1998,38239,,38239,,1101,1101,,3079,3079,,,,,,,42419
Nov 1998 - Apr 1999,8683,,8683,,,,,7075,7075,,,,,,,15758
Nov 1999 - Apr 2000,8580,,8580,,122,122,0,4181,4181,,,,,,,12883
Nov 2000 - Apr 2001,18351,,18351,,925,925,98,2439,2537,,,,,,,21813
Nov 2001 - Apr 2002,36004,,36004,,0,0,216,4186,4402,,,,,,,40406
Nov 2002 - Apr 2003,5346,38,5384,,148,148,57,3183,3240,110,,,,,,8882
Nov 2003 - Apr 2004,8824,60,8884,,0,0,40,5166,5206,60,,,,,,14150
Nov 2004 - Apr 2005,9493,79,9572,,1031,1031,23,5562,5585,94,,,,,,16282
Nov 2005 - Apr 2006,7678,12,7690,,2485,2485,50,4822,4872,42,,,,,,15089
Nov 2006 - Apr 2007,13798,66,13864,,1477,1477,72,3361,3433,69,,,,,,18843
Nov 2007 - Apr 2008,3673,0,3673,,291,291,19,6334,6353,55,,,,,,10372
[Nov 2008 - Apr 2009],3271,58,3329,,63,63,32,6436,6468,336,,,,,,10196
[Nov 2009 - Apr 2010],3845,81,3926,,439,439,27,5505,5532,91,,,,,,9988
[Nov 2010 - Apr 2011],3686,39,3725,,0,0,28,4637,4665,58,,,,,,8448
[Nov 2011 - Apr 2012],2811,47,2858,,11,11,19,3048,3067,50,,,,,,5986
[Nov 2012 - Apr 2013],4918,43,4961,,309,309,42,3615,3657,77,,,,,,9004
[Nov 2013 - Apr 2014],7227,39,7266,,723,723,120,4869,4989,72,,,,,,13050
[Nov 2014 - Apr 2015],2039,83,2122,,92,92,97,6827,6924,272,,,,,,9410
[Nov 2015 - Apr 2016],3085,65,3150,,0,0,57,2351,2408,55,,,,,,5613
[Nov 2016 - Apr 2017],3069,11,3080,,0,0,43,1666,1709,55,,,,,,4844
[Nov 2017 - Apr 2018],1116,18,1134,,59,59,18,3888,3906,88,,,,,,5187
[Nov 2018 - Apr 2019],2887,12,2899,,98,98,66,8111,8177,249,,,,,,11423
[Nov 2019 - Apr 2020],1218,23,1241,,0,0,33,3730,3763,146,,,,,,5150
[Nov 2020 - Apr 2021],1709,0,1709,,138,138,17,1883,1900,129,,,,,,3876
[Nov 2021 - Apr 2022],4442,32,4474,,292,292,39,2313,2352,96,,,,,,7214
[Nov 2022 - Apr 2023],1045,29,1074,,71,71,22,2032,2054,30,,,,,,3229
[Nov 2023 - Apr 2024],1430,32,1462,,94,94,16,2717,2733,82,,,,,,4371
[Nov 2024 - Apr 2025],,,,,,,,3594,3594,,,,,,,3594
