WINTER_SPAWN_PERIOD,Upstream RBDD,Downstr. RBDD,TOTAL In-River,Coleman Hatchery,Livingston Stone NFH,Clear Creek,Battle Creek,TOTAL 6/ SAC SYSTEM,San Joaquin Calaveras River 4/,TOTAL CENTRAL VALLEY SYSTEM,Fish Passing RBDD 3/,Angler Harvest 4/,REDD distribution 2/ Upstream of RBDD,REDD distribution 2/ Downstr. of RBDD
Dec 1969 - Aug 1970,40409,,40409,,,,,40409,,40409,40409,,,
Dec 1970 - Aug 1971,53089,,53089,,,,,53089,,53089,53089,,,
Dec 1971 - Aug 1972,35929,,35929,,,,,37133,,37133,37133,1204,,
Dec 1972 - Aug 1973,22651,,22651,,,,,24079,,24079,24079,1428,,
Dec 1973 - Aug 1974,21389,,21389,,,,,21897,,21897,21897,508,,
Dec 1974 - Aug 1975,22579,,22579,,,,,23430,500,23930,23430,851,,
Dec 1975 - Aug 1976,33029,,33029,,,,,35096,500,35596,35096,2067,,
Dec 1976 - Aug 1977,16470,,16470,,,,,17214,,17214,17214,744,,
Dec 1977 - Aug 1978,24735,,24735,,,,,24862,150,25012,24862,127,,
Dec 1978 - Aug 1979,2339,,2339,,,,,2364,,2364,2364,25,,
Dec 1979 - Aug 1980,1142,,1142,,,,,1156,,1156,1156,14,,
Dec 1980 - Aug 1981,19795,2756,22551,,,,,22797,,22797,20041,246,87.80%,12.20%
Dec 1981 - Aug 1982,1233,39,1272,,,,,1281,,1281,1242,9,97.00%,3.00%
Dec 1982 - Aug 1983,1827,,1827,,,,,1831,,1831,1831,4,,
Dec 1983 - Aug 1984,2662,,2662,,,,,2663,100,2763,2663,1,,
Dec 1984 - Aug 1985,3686,1445,5131,,,,,5407,,5407,3962,276,71.80%,28.20%
Dec 1985 - Aug 1986,2566,,2566,,,,,2596,,2596,2596,30,,
Dec 1986 - Aug 1987,2068,97,2165,,,,,2185,,2185,2088,20,95.50%,4.50%
Dec 1987 - Aug 1988,2129,728,2857,,,,,2878,,2878,2150,21,74.50%,25.50%
Dec 1988 - Aug 1989,635,14,649,42,,,,696,,696,682,5,97.90%,2.10%
Dec 1989 - Aug 1990,384,28,412,14,,,,430,,430,402,4,93.30%,6.70%
Dec 1990 - Aug 1991,177,0,177,33,,,,211,,211,211,1,100.00%,0%
Dec 1991 - Aug 1992,1159,44,1203,34,,,,1240,,1240,1196,3,96.40%,3.60%
Dec 1992 - Aug 1993,369,9,378,,,,,387,,387,378,9,97.70%,2.30%
Dec 1993 - Aug 1994,144,0,144,42,,,,186,,186,186,0,100.00%,0%
Dec 1994 - Aug 1995,1159,7,1166,43,,,88,1297,,1297,1290,0,99.40%,0.60%
Dec 1995 - Aug 1996,1012,0,1012,,,,325,1337,,1337,1337,0,100.00%,0%
Dec 1996 - Aug 1997,836,0,836,,,,44,880,,880,880,0,100.00%,0%
Dec 1997 - Aug 1998,2831,62,2893,,99,,,2992,,2992,2930,0,97.90%,2.10%
Dec 1998 - Aug 1999,3264,0,3264,,24,,,3288,,3288,3288,0,100.00%,0%
Dec 1999 - Aug 2000,1261,0,1261,,89,,2,1352,,1352,1352,0,100.00%,0%
Dec 2000 - Aug 2001,8085,35,8120,0,104,,0,8224,,8224,5499,0,99.60%,0.40%
Dec 2001 - Aug 2002,7325,12,7337,0,104,,0,7441,,7441,9157,0,99.80%,0.20%
Dec 2002 - Aug 2003,8105,28,8133,0,85,,0,8218,,8218,9724,0,99.70%,0.30%
Dec 2003 - Aug 2004,7784,0,7784,0,85,,0,7869,,7869,7192,0,100.00%,0%
Dec 2004 - Aug 2005,15730,0,15730,0,109,,0,15839,,15839,5299,0,100.00%,0%
Dec 2005 - Aug 2006,17149,48,17197,0,93,,6,17296,,17296,7415,0,99.70%,0.30%
Dec 2006 - Aug 2007,2487,0,2487,0,54,,0,2541,0,2541,6144,0,100.00%,0%
Dec 2007 - Aug 2008,2725,0,2725,0,105,,0,2830,0,2830,3635,0,100.00%,0%
Dec 2008 - Aug 2009,4416,0,4416,0,121,,0,4537,0,4537,,,100.00%,0%
[Dec 2009 - Aug 2010],1533,0,1533,0,63,,0,1596,0,1596,,0,100.00%,0%
[Dec 2010 - Aug 2011],738,0,738,2,86,,1,827,0,827,,0,100.00%,0%
[Dec 2011 - Aug 2012],2578,0,2578,0,93,,0,2671,,2671,,0,100.00%,0%
[Dec 2012 - Aug 2013],5922,0,5922,0,164,,0,6086,,6086,,0,100.00%,0%
[Dec 2013 - Aug 2014],2627,0,2627,0,388,,0,3015,,3015,,0,100.00%,0%
[Dec 2014 - Aug 2015],3182,0,3182,1,257,,0,3440,,3440,,0,100.00%,0%
[Dec 2015 - Aug 2016],1411,0,1411,0,137,1,0,1549,,1549,,0,100.00%,0%
[Dec 2016 - Aug 2017],797,0,797,0,180,2,0,979,,979,,0,100.00%,0%
[Dec 2017 - Aug 2018],2458,0,2458,0,180,0,1,2639,,2639,,0,100.00%,0%
[Dec 2018 - Aug 2019],7853,0,7853,74,180,0,21,8128,,8128,,0,100.00%,0%
[Dec 2019 - Aug 2020],6199,0,6199,96,191,0,942,7428,,7428,,0,100.00%,0%
[Dec 2020 - Aug 2021],9998,0,9998,58,298,0,167,10548,,10548,,27,100.00%,0%
[Dec 2021 - Aug 2022],5443,0,5443,15,482,0,127,6067,,6067,,0,100.00%,0%
[Dec 2022 - Aug 2023],1920,0,1920,44,507,0,10,2481,,2481,,0,100.00%,0%
[Dec 2023 - Aug 2024],1024,0,1024,18,272,0,53,1367,,1367,,0,,
[Dec 2024 - Aug 2025],,,,,,,,,,,,,,
