YEAR,Upstr. RBDD,Downstr. RBDD,Sacramento River Mainstem TOTAL,Battle Ck 4/,Clear Ck,Cottonwood Ck,Antelope Ck,Mill Ck,Mill Ck Spawn 5/,Deer Ck,Deer Ck Spawn 5/,Big Chico Ck,Butte Ck 6/,Butte Ck 5/ Spawn,Feather In-River 2/,Feather Hatchery 3/,Feather River TOTAL,Yuba River,TOTAL SPRING RUN 7/
1960,,,,,,,,2368,,,,,8700,,,,,,11068
1961,,,,,,,,1245,,,,,3082,,,,,,4327
1962,,,,,,,,1692,,,,200,1750,,,,,,3642
1963,,,,,0,,,1315,,2302,,500,6100,,600,,600,,10817
1964,,,,,0,,,1539,,2874,,100,600,,2908,,2908,,8021
1965,,,,,0,,,,,,,50,1000,,738,,738,,1788
1966,,,,,0,,,,,,,50,80,,297,,297,,427
1967,,,,,,,,,,,,150,180,,,146,146,,476
1968,,,,,0,,,,,,,175,280,,,208,208,,663
1969,20000,,20000,,0,,,,,,,200,830,,,348,348,,21378
1970,3652,,3652,,,,,1500,,2000,,,285,,,235,235,,7672
1971,5830,,5830,,,,,1000,,1500,,0,470,,,481,481,,9281
1972,7038,,7038,,,,,500,,400,,,150,,,256,256,,8844
1973,7175,,7175,,,0,,1700,,2000,,50,300,,,205,205,,11430
1974,3800,,3800,,,3,,1500,,3500,,100,150,,,198,198,,9251
1975,10234,,10234,,,3,,3500,,8500,,,650,,,691,691,,23578
1976,25095,,25095,,,,,,,,,,46,,,699,699,,25840
1977,11545,,11545,,,,,460,,340,,100,100,,,185,185,,12730
1978,5669,,5669,,,,,925,,1200,,,128,,2,202,204,,8126
1979,2856,,2856,,,,,,,,,,10,,,250,250,,3116
1980,9363,6,9369,,,,,500,,1500,,,226,,400,269,669,200,12464
1981,20655,,20655,,,,,,,,,,250,,531,469,1000,200,22105
1982,23156,,23156,,,0,,700,,1500,,,534,,90,1910,2000,,27890
1983,3854,1793,5647,,,59,,,,500,,,50,,,1702,1702,,7958
1984,7823,,7823,,,,,191,,,,0,23,,,1562,1562,,9599
1985,10200,2713,12913,,,,,121,,301,,0,254,,,1632,1632,,15221
1986,15948,6110,22058,,,,,291,,543,,,1371,,,1433,1433,,25696
1987,10911,1460,12371,,,,,90,,200,,,14,,,1213,1213,,13888
1988,9601,266,9867,,,,,572,,371,,,1290,,,6833,6833,,18933
1989,5131,0,5131,7,,0,,563,,84,,,1300,,,5078,5078,,12163
1990,3896,302,4198,2,,,,844,,496,,,250,,,1893,1893,,7683
1991,766,59,825,,,0,,319,,479,,,,,,4303,4303,,5926
1992,371,0,371,,,0,,237,,209,,,730,,,1497,1497,,3044
1993,391,0,391,1,1,1,,61,,259,,38,650,,,4672,4672,,6076
1994,862,0,862,0,,0,,723,,485,,2,474,,,3641,3641,,6187
1995,349,77,426,66,2,8,7,320,,1295,,200,7500,,,5414,5414,,15238
1996,378,0,378,35,,6,1,253,,614,,2,1413,,,6381,6381,,9083
1997,126,2,128,107,,0,0,202,,466,,2,635,,,3653,3653,,5193
1998,1115,0,1115,178,47,477,154,424,,1879,,369,20259,,,6746,6746,,31649
1999,262,0,262,73,35,102,40,560,,1591,,27,3679,,,3731,3731,,10100
2000,43,0,43,78,9,122,9,544,,637,,27,4118,,,3657,3657,,9244
2001,600,21,621,111,0,245,8,1104,,1622,,39,18670,18415,,4135,4135,108,26663
2002,195,0,195,222,66,125,46,1594,,2195,,0,16409,12893,,4189,4189,,25043
2003,0,0,0,221,25,73,46,1426,,2759,,81,17404,6063,,8662,8662,,30697
2004,370,0,370,90,98,17,3,998,,804,,0,10558,10221,,4212,4212,,17150
2005,0,30,30,73,69,47,82,1150,,2239,,37,17592,16981,,1774,1774,,23093
2006,0,0,0,221,77,55,102,1002,,2432,,299,6537,6296,,2181,2181,,12906
2007,248,0,248,291,194,34,26,920,,644,,0,6871,6237,,1916,1916,,11144
2008,0,52,52,105,200,0,3,381,,140,,0,11046,10009,,1460,1460,,13387
[2009],0,0,0,194,120,0,0,237,,213,,6,2687,2561,,989,989,,4446
[2010],0,0,0,174,21,15,17,482,,262,,2,1991,1979,,1661,1661,,4625
[2011],0,0,0,159,8,2,6,366,,271,,124,4871,4859,,1969,1969,,7776
[2012],0,0,0,799,68,1,1,768,,734,,0,16317,16140,,3738,3738,,22426
[2013],114,0,114,608,659,1,0,644,,708,,0,16782,15886,,4294,4294,,23810
[2014],8,0,8,429,95,2,7,679,440,830,641,0,5083,4851,,2776,2776,,9909
[2015],414,0,414,181,45,0,5,127,116,268,99,0,569,413,,3386,3386,,4995
[2016],21,0,21,180,29,0,7,175,94,331,268,0,5731,5371,,1659,1659,,8133
[2017],4,0,4,30,25,0,8,258,258,219,219,0,515,515,,532,532,,1591
[2018],0,0,0,82,49,0,1,152,152,159,104,0,2404,2362,,2110,2110,,4957
[2019],33,,33,47,62,62,7,180,180,585,373,350,15047,14863,,3867,3867,,20240
[2020],17,0,17,47,172,0,2,80,80,90,40,,1333,1281,,1554,1554,,3295
[2021],191,0,191,233,2252,0,3,718,620,619,282,,21580,1807,,1722,1722,,27318
[2022],479,0,479,152,195,0,0,250,250,397,127,,3688,2900,,1391,1391,,6552
[2023],2,0,2,7,0,0,0,34,34,23,16,8,95,,,1072,1072,,1241
[2024],254,0,254,30,6,0,0,18,18,33,33,,51,28,,2470,2470,,2862
[2025],,,,,,,,,,,,,,,,,,,
