YEAR,Coleman Hatchery,Keswick Dam to Red Bluff Diversion Dam Mainstem,Keswick Dam to Red Bluff Diversion Dam In-River Tributaries,Keswick Dam to Red Bluff Diversion Dam TOTAL,Tehama Colusa Hatchery,Red Bluff Diversion Dam to Princeton Ferry Mainstem,Red Bluff Diversion Dam to Princeton Ferry In-River Tributaries,Red Bluff Diversion Dam to Princeton Ferry TOTAL,Feather + Nimbus Hatcheries,Princeton Ferry to Sacramento In-River Tributaries,Princeton Ferry to Sacramento TOTAL
1952,11000,210716,4000,225716,,56284,31000,87284,,25000,25000
1953,12000,321409,12300,345709,,86591,18700,105291,,62000,62000
1954,8000,217551,13000,238551,,58449,13000,71449,,102000,102000
1955,10000,182293,18800,211093,,48707,4500,53207,8000,97000,105000
1956,7458,87357,21500,116315,,5800,2848,8648,1537,28100,29637
1957,3045,54989,3853,61887,,12200,9249,21449,875,18787,19662
1958,14643,107153,20530,142326,,20600,8240,28840,9571,59850,69421
1959,10833,256700,25120,292653,,9900,2347,12247,13243,108050,121293
1960,9605,218940,16160,244705,,14000,1990,15990,29166,128900,158066
1961,8156,140181,13200,161537,,9400,1689,11089,14309,64100,78409
1962,4857,127837,21100,153794,,8500,7184,15684,12653,67750,80403
1963,5114,138881,25900,169895,,6800,2835,9635,3211,109170,112381
1964,3875,142584,19000,165459,,5500,600,6100,26623,106800,133423
1965,3194,101876,10785,115855,,1500,410,1910,17204,55000,72204
1966,900,111881,14500,127281,,3100,800,3900,9946,45400,55346
1967,3050,82490,3680,89220,,9200,620,9820,7003,51600,58603
1968,3526,98429,20140,122095,,11800,1100,12900,11177,45400,56577
1969,2626,115652,16537,134815,,17600,2690,20290,7443,105630,113073
1970,3512,65142,8628,77282,,5860,1590,7450,11984,100680,112664
1971,2004,53888,3285,59177,295,27661,1533,29489,13651,91445,105096
1972,2822,33958,2030,38810,110,17021,1330,18461,10677,70367,81044
1973,3835,41129,4300,49264,886,19090,1712,21688,21012,171461,192473
1974,1607,47019,2294,50920,843,29361,2324,32528,13448,132123,145571
1975,2431,53129,2426,57986,1994,36173,2226,40393,12677,76508,89185
1976,2297,45753,7480,55530,1430,37982,800,40212,10413,84380,94793
1977,5244,16176,8478,29898,1669,47220,1518,50407,15652,87995,103647
1978,1882,32235,2950,37067,2052,48006,390,50448,12921,53365,66286
1979,8729,47758,4430,60917,2456,64985,1590,69031,14441,78160,92601
1980,9503,21961,4940,36404,1865,28588,681,31134,19233,78270,97503
1981,10272,29212,13422,52906,2384,40340,2907,45631,28875,102225,131100
1982,19525,17966,8785,46276,1225,22578,2082,25885,18461,120323,138784
1983,8756,26226,6327,41309,1267,30751,1240,33258,16599,64479,81078
1984,21581,36965,13152,71698,1206,17960,7150,26316,21537,79181,100718
1985,16320,52120,24188,92628,4752,42028,4765,51545,14904,119478,134382
1986,12481,68821,18771,100073,,38544,830,39374,14323,115543,129866
1987,16256,76562,7993,100811,,31120,346,31466,16366,126141,142507
1988,13615,63998,58313,135926,,18262,1487,19749,15105,76445,91550
1989,11986,48968,21215,82169,,10101,1923,12024,17319,67346,84665
1990,14635,32109,7464,54208,,16175,,16175,10976,5339,16315
1991,10683,20523,9260,40466,,10108,,10108,17845,63036,80881
1992,7275,23914,7618,38807,,8315,999,9314,22896,36378,59274
1993,7587,33471,12275,53333,,12760,2047,14807,22647,68653,91300
1994,18991,44729,26820,90540,,13817,1388,15205,23769,82870,106639
1995,26677,53385,65813,145875,,10549,,10549,18647,145212,163859
1996,21178,71725,58331,151234,,12361,,12361,15758,155315,171073
1997,50670,98765,59313,208748,,20531,1681,22212,20778,124490,145268
1998,44351,5718,58216,108285,,600,816,1416,30677,82047,112724
1999,26970,133365,100932,261267,,27827,,27827,22687,79569,102256
2000,21659,87793,60134,169586,,8895,,8895,29306,230564,259870
2001,24698,57920,111469,194087,,17376,,17376,36620,341854,378474
2002,65924,45552,413220,524696,,20138,2611,22749,30324,257131,287455
2003,88234,66485,74239,228958,,22744,2426,25170,29863,285496,315359
2004,69172,34050,30226,133448,,9554,1492,11046,47697,171186,218883
2005,142673,44950,35344,222967,,12062,3389,15451,44754,133724,178478
2006,57832,46568,32124,136524,,8900,3308,12208,22762,110995,133757
2007,11744,14097,17495,43336,,2964,1414,4378,10767,35858,46625
2008,10639,23134,12970,46743,,1609,412,2021,8146,12236,20382
[2009],6152,5311,7597,19060,,516,160,676,14752,14999,29751
[2010],17237,13824,15497,46558,,2548,310,2858,29068,74348,103416
[2011],42092,10299,21309,73700,,1293,1893,3186,45296,82259,127555
[2012],84289,22435,43229,149953,,6266,1763,8029,51417,110458,161875
[2013],70021,32515,50531,153067,,7569,3223,10792,36698,226517,263215
[2014],19277,29885,47916,97078,,4897,3480,8377,31763,100702,132465
[2015],15712,21766,13650,51128,,6893,1651,8544,30637,42894,73531
[2016],8526,4263,5177,17966,,309,993,1302,29783,57931,87714
[2017],6395,1822,3121,11338,,41,451,492,35673,21936,57609
[2018],14198,8982,20129,43309,,455,735,1190,34568,70373,104941
[2019],14270,23482,29790,67542,,949,3163,4112,38399,83924,122323
[2020],13736,12952,26394,53082,,575,442,1017,28457,69374,97831
[2021],16438,14913,40843,72194,,716,835,1551,23462,25418,48880
[2022],9242,4612,4732,18586,,68,221,289,23792,26127,49919
[2023],4847,2734,2774,10355,,826,387,1213,28098,105914,134012
[2024],6199,6542,2740,15481,,89,235,324,29045,81261,110306
[2025],,,,,,,,,,,
