YEAR,Sacramento River Mainstem In-River 1/,Sacramento River Mainstem Trans. to CNFH 2/,Sacramento River Mainstem TOTAL,Battle Creek 5/ CNFH,Battle Creek 5/ Downstr. CNFH,Battle Creek 5/ Upstr. CNFH 3/,Battle Creek 5/ TOTAL,Clear Ck,Spring Gulch,China Gulch,Olney Ck,Cottonwood,Paynes Ck,Cow Ck,Bear Ck,Ash Ck,Stillwater,Inks Ck,Other 4/
1952,203716,7000,210716,11000,4000,,15000,,,,,,,,,,,,
1953,313409,8000,321409,12000,4000,,16000,1500,,,,3000,,3000,800,,,,
1954,211551,6000,217551,8000,4000,,12000,3000,,,,1000,,4500,500,,,,
1955,176293,6000,182293,10000,16000,,26000,500,,,,800,,1300,200,,,,
1956,84716,2641,87357,7458,13650,,21108,2650,950,385,,660,,3200,5,,,,
1957,47300,7689,54989,3045,2285,,5330,330,,,,358,,700,30,10,140,,
1958,99300,7853,107153,14643,14500,100,29243,1600,,200,30,600,,3300,200,,,,
1959,249600,7100,256700,10833,19300,100,30233,775,955,,,3300,,680,10,,,,
1960,210000,8940,218940,9605,14200,,23805,900,,,,350,,650,50,10,,,
1961,134700,5481,140181,8156,11700,,19856,,,,,1500,,,,,,,
1962,115500,12337,127837,4857,8200,,13057,5400,,,,6000,,1500,,,,,
1963,135200,3681,138881,5114,12400,,17514,10000,,,,3500,,,,,,,
1964,140500,2084,142584,3875,12000,,15875,2500,,,,3450,,1000,50,,,,
1965,98900,2976,101876,3194,6000,,9194,2500,,,,900,35,1000,350,,,,
1966,107900,3981,111881,900,2400,,3300,900,,,,2900,300,7600,400,,,,
1967,78100,4390,82490,3050,2160,,5210,370,,,,600,,520,30,,,,
1968,95600,2829,98429,3526,2950,,6476,800,,,,8540,,7540,310,,,,
1969,114600,1052,115652,2626,3200,,5826,1240,,,,4967,300,5570,560,320,150,230,
1970,62298,2844,65142,3512,3320,,6832,,,,,,,,,,,,5308
1971,52247,1641,53888,2004,3285,,5289,,,,,,,,,,,,
1972,33559,399,33958,2822,2030,,4852,,,,,,,,,,,,
1973,40424,705,41129,3835,4300,,8135,,,,,,,,,,,,
1974,45590,1429,47019,1607,2294,,3901,,,,,,,,,,,,
1975,52248,881,53129,2431,2426,,4857,,,,,,,,,,,,
1976,43604,2149,45753,2297,3147,,5444,1013,,,,2427,,726,167,,,,
1977,15784,392,16176,5244,5604,,10848,1362,,,,1512,,,,,,,
