YEAR,Butte Ck 1/,Hatchery 2/,In-River 2/,TOTAL...5,Yuba River 3/,Bear River,Dry Ck,Nimbus Hatchery,In-River 4/5/,TOTAL...11,Natomas Drain
1952,,,,,,,,,25000,25000,
1953,,,28000,28000,6000,,,,28000,28000,
1954,,,68000,68000,5000,,,,29000,29000,
1955,,,86000,86000,2000,,,8000,9000,17000,
1956,,,18200,18200,5000,,,1537,4900,6437,
1957,,,10750,10750,1205,,,875,6832,7707,
1958,,,34650,34650,7900,,,9571,17300,26871,
1959,,,80150,80150,10000,,,13243,17900,31143,
1960,,,83300,83300,20400,,,29166,25200,54366,
1961,,,43700,43700,9200,,,14309,11200,25509,
1962,,,19050,19050,34300,,,12653,14400,27053,
1963,,,33900,33900,37000,,,3211,37810,41021,460
1964,,5952,32400,38352,34900,,,20671,38500,59171,1000
1965,0,3635,19600,23235,10200,,,13569,25000,38569,200
1966,0,1850,19000,20850,7800,,,8096,18600,26696,
1967,,1856,10100,11956,23500,,,5147,18000,23147,
1968,,5944,12200,18144,7000,,,5233,26100,31333,100
1969,,4378,56200,60578,5230,,,3065,44200,47265,
1970,,3355,58170,61525,13830,,,8629,28680,37309,
1971,615,3541,43500,47041,5650,,,10110,41680,51790,
1972,450,3635,43200,46835,9258,,,7042,17459,24501,
1973,,8477,65100,73577,24119,,,12535,82242,94777,
1974,200,5248,60518,65766,17809,,,8200,53596,61796,
1975,1000,5265,37735,43000,5641,,,7412,32132,39544,
1976,640,5198,56802,62000,3779,,,5215,23159,28374,
1977,,8784,37668,46452,8722,,,6868,41605,48473,
1978,20,4759,33000,37759,7416,,,8162,12929,21091,
1979,,4090,28415,32505,12430,,,10351,37315,47666,
1980,,3690,31605,35295,12406,,,15543,34259,49802,
1981,,8282,44738,53020,14025,,,20593,43462,64055,
1982,,7563,47956,55519,39367,,,10898,33000,43898,
1983,1000,7699,22823,30522,13756,,500,8900,26400,35300,
1984,,9288,41769,51057,9665,300,,12249,27447,39696,
1985,100,5811,50191,56002,13042,,25,9093,56120,65213,
1986,,8628,46843,55471,19328,,,5695,49372,55067,
1987,,10108,67738,77846,18518,,,6258,39885,46143,
1988,,6480,42556,49036,9000,,,8625,24889,33514,
1989,,7578,40541,48119,7622,,,9741,19183,28924,
1990,,6126,,6126,,,,4850,5339,10189,
1991,,10717,31345,42062,14008,,,7128,17683,24811,
1992,,16440,24105,40545,6362,,,6456,5911,12367,
1993,,11991,30923,42914,6703,,,10656,31027,41683,
1994,,15202,38382,53584,10890,,,8567,33598,42165,
1995,445,12149,59912,72061,14237,,,6498,70618,77116,
1996,500,8107,57170,65277,27900,,,7651,69745,77396,
1997,800,15128,50547,65675,25948,,,5650,47195,52845,
1998,500,18889,,18889,31090,,,11788,50457,62245,
1999,,12927,,12927,24230,,,9760,55339,65099,
2000,,18146,114717,132863,14995,,,11160,100852,112012,
2001,4433,24870,178645,203515,23392,,,11750,135384,147134,
2002,3665,20507,105163,125670,24051,,,9817,124252,134069,
2003,3492,14976,89946,104922,28316,,,14887,163742,178629,
2004,2516,21297,54171,75468,15269,,,26400,99230,125630,
2005,4255,22405,49160,71565,17630,,,22349,62679,85028,
2006,1920,14034,76414,90448,8121,,,8728,24540,33268,
2007,1225,6170,21909,28079,2604,,,4597,10120,14717,
2008,275,4914,5939,10853,3508,,,3232,2514,5746,
[2009],306,9963,4847,14810,4635,,,4789,5211,10000,
[2010],370,19973,44914,64887,14375,,,9095,14689,23784,
[2011],416,32616,47289,79905,8928,,,12680,25626,38306,
[2012],813,42160,63649,105809,7668,,,9257,38328,47585,
[2013],2200,27622,151209,178831,14880,,,9076,58228,67304,
[2014],1412,23420,61200,84620,11615,,,8343,26475,34818,
[2015],82,20816,20566,41382,6507,,,9821,15739,25560,
[2016],626,20556,38775,59331,4057,,,9227,14473,23700,
[2017],105,25094,10534,35628,1634,,,10579,9663,20242,
[2018],,28356,45826,74182,3455,,,6212,21092,27304,
[2019],1481,27103,51967,79070,3446,,,11296,27030,38326,
[2020],,22193,42724,64917,4194,,,6264,22456,28720,
[2021],,12385,9652,22037,4534,,,11077,11232,22309,
[2022],,14248,6573,20821,3171,,,9544,16383,25927,
[2023],,18799,63747,82546,4846,,,9299,37321,46620,
[2024],,16644,30773,47417,4947,,,12401,45541,57942,
[2025],,,,,,,,,,,
